n,method,value,ops,time_ms
1775,memoization,40139914357709271064836646413102792698484215771508449807036013515245574506840266997199052144047115417764472656894805374642615729816411140930281185013398548544761412231683535214766222076231545444810340991600190833538992373026930521568429816368892365304259779330371955375332582462717145332610511979826387503644706779500519118094794914662557786583527930234844948274304048225,1774,1.731300
1776,iterative,64947745736283505389830155027846648221459130449730387055314305339169256610722221966990398071821622321892103293722545283400628904490542219884006295231633087349262838568734403605856384248431764919328997486655619631039021826566426178150922612629738830495616670861690336726812075192880818934503114011797217202738114207642599779173567364644976151538287240299503341862035815232,1775,0.324400
1776,memoization,64947745736283505389830155027846648221459130449730387055314305339169256610722221966990398071821622321892103293722545283400628904490542219884006295231633087349262838568734403605856384248431764919328997486655619631039021826566426178150922612629738830495616670861690336726812075192880818934503114011797217202738114207642599779173567364644976151538287240299503341862035815232,1775,1.449700
1777,iterative,105087660093992776454666801440949440919943346221238836862350318854414831117562488964189450215868737739656575950617350658043244634306953360814287480245031635894024250800417938820622606324663310364139338478255810464578014199593356699719352428998631195799876450192062292102144657655597964267113625991623604706382820987143118897268362279307533938121815170534348290136339863457,1776,0.323200
1777,memoization,105087660093992776454666801440949440919943346221238836862350318854414831117562488964189450215868737739656575950617350658043244634306953360814287480245031635894024250800417938820622606324663310364139338478255810464578014199593356699719352428998631195799876450192062292102144657655597964267113625991623604706382820987143118897268362279307533938121815170534348290136339863457,1776,1.441200
1778,iterative,170035405830276281844496956468796089141402476670969223917664624193584087728284710931179848287690360061548679244339895941443873538797495580698293775476664723243287089369152342426478990573095075283468335964911430095617036026159782877870275041628370026295493121053752628828956732848478783201616740003420821909120935194785718676441929643952510089660102410833851631998375678689,1777,0.326100
1778,memoization,170035405830276281844496956468796089141402476670969223917664624193584087728284710931179848287690360061548679244339895941443873538797495580698293775476664723243287089369152342426478990573095075283468335964911430095617036026159782877870275041628370026295493121053752628828956732848478783201616740003420821909120935194785718676441929643952510089660102410833851631998375678689,1777,1.512400
1779,iterative,275123065924269058299163757909745530061345822892208060780014943047998918845847199895369298503559097801205255194957246599487118173104448941512581255721696359137311340169570281247101596897758385647607674443167240560195050225753139577589627470627001222095369571245814920931101390504076747468730365995044426615503756181928837573710291923260044027781917581368199922134715542146,1778,0.326500
1779,memoization,275123065924269058299163757909745530061345822892208060780014943047998918845847199895369298503559097801205255194957246599487118173104448941512581255721696359137311340169570281247101596897758385647607674443167240560195050225753139577589627470627001222095369571245814920931101390504076747468730365995044426615503756181928837573710291923260044027781917581368199922134715542146,1778,1.466800
1780,iterative,445158471754545340143660714378541619202748299563177284697679567241583006574131910826549146791249457862753934439297142540930991711901944522210875031198361082380598429538722623673580587470853460931076010408078670655812086251912922455459902512255371248390862692299567549760058123352555530670347105998465248524624691376714556250152221567212554117442019992202051554133091220835,1779,0.324100
1780,memoization,445158471754545340143660714378541619202748299563177284697679567241583006574131910826549146791249457862753934439297142540930991711901944522210875031198361082380598429538722623673580587470853460931076010408078670655812086251912922455459902512255371248390862692299567549760058123352555530670347105998465248524624691376714556250152221567212554117442019992202051554133091220835,1779,1.500200
1781,iterative,720281537678814398442824472288287149264094122455385345477694510289581925419979110721918445294808555663959189634254389140418109885006393463723456286920057441517909769708292904920682184368611846578683684851245911216007136477666062033049529982882372470486232263545382470691159513856632278139077471993509675140128447558643393823862513490472598145223937573570251476267806762981,1780,0.348700
1781,memoization,720281537678814398442824472288287149264094122455385345477694510289581925419979110721918445294808555663959189634254389140418109885006393463723456286920057441517909769708292904920682184368611846578683684851245911216007136477666062033049529982882372470486232263545382470691159513856632278139077471993509675140128447558643393823862513490472598145223937573570251476267806762981,1780,1.815600
1782,iterative,1165440009433359738586485186666828768466842422018562630175374077531164931994111021548467592086058013526713124073551531681349101596908337985934331318118418523898508199247015528594262771839465307509759695259324581871819222729578984488509432495137743718877094955844950020451217637209187808809424577991974923664753138935357950074014735057685152262665957565772303030400897983816,1781,0.325400
1782,memoization,1165440009433359738586485186666828768466842422018562630175374077531164931994111021548467592086058013526713124073551531681349101596908337985934331318118418523898508199247015528594262771839465307509759695259324581871819222729578984488509432495137743718877094955844950020451217637209187808809424577991974923664753138935357950074014735057685152262665957565772303030400897983816,1781,1.525800
1783,iterative,1885721547112174137029309658955115917730936544473947975653068587820746857414090132270386037380866569190672313707805920821767211481914731449657787605038475965416417968955308433514944956208077154088443380110570493087826359207245046521558962478020116189363327219390332491142377151065820086948502049985484598804881586494001343897877248548157750407889895139342554506668704746797,1782,0.328000
1783,memoization,1885721547112174137029309658955115917730936544473947975653068587820746857414090132270386037380866569190672313707805920821767211481914731449657787605038475965416417968955308433514944956208077154088443380110570493087826359207245046521558962478020116189363327219390332491142377151065820086948502049985484598804881586494001343897877248548157750407889895139342554506668704746797,1782,1.499600
1784,iterative,3051161556545533875615794845621944686197778966492510605828442665351911789408201153818853629466924582717385437781357452503116313078823069435592118923156894489314926168202323962109207728047542461598203075369895074959645581936824031010068394973157859908240422175235282511593594788275007895757926627977459522469634725429359293971891983605842902670555852705114857537069602730613,1783,0.329400
1784,memoization,3051161556545533875615794845621944686197778966492510605828442665351911789408201153818853629466924582717385437781357452503116313078823069435592118923156894489314926168202323962109207728047542461598203075369895074959645581936824031010068394973157859908240422175235282511593594788275007895757926627977459522469634725429359293971891983605842902670555852705114857537069602730613,1783,1.513000
1785,iterative,4936883103657708012645104504577060603928715510966458581481511253172658646822291286089239666847791151908057751489163373324883524560737800885249906528195370454731344137157632395624152684255619615686646455480465568047471941144069077531627357451177976097603749394625615002735971939340827982706428677962944121274516311923360637869769232154000653078445747844457412043738307477410,1784,0.328400
